premise,layer,head,factual%,cf%,delta
confirm,10,2,75.2,24.8,1.117066794037819
confirm,10,3,74.0,26.0,1.0719554597139358
confirm,10,4,76.2,23.8,1.1563192181587219
confirm,10,5,75.4,24.6,1.0976256804466247
confirm,10,6,75.6,24.4,1.1413968609571457
confirm,10,7,73.8,26.2,1.1096486443281173
confirm,10,8,76.0,24.0,1.0953093050718308
confirm,10,9,75.0,25.0,1.0768411648273468
confirm,10,10,75.0,25.0,1.1425120459794997
confirm,10,11,73.8,26.2,1.0907024564743042
confirm,11,0,75.0,25.0,1.107116238117218
confirm,11,1,74.8,25.2,1.1276050612926483
confirm,11,2,74.2,25.8,1.0995532621145248
confirm,11,3,75.4,24.6,1.1106383665800095
confirm,11,4,75.2,24.8,1.1273922773599625
confirm,11,5,75.0,25.0,1.1011463820934295
confirm,11,6,74.8,25.2,1.125150503396988
confirm,11,7,74.8,25.2,1.1028136993646622
confirm,11,8,75.0,25.0,1.1200111348628998
confirm,11,9,74.4,25.6,1.1188017411231994
confirm,11,10,74.8,25.2,1.1217755824327469
confirm,11,11,75.0,25.0,1.1165981794595718
suppose,0,0,75.4,24.6,1.1738381150960921
